,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Longyearbyen,20,NO,1576301285,67,78.22,15.63,267.15,10.3
1,Busselton,14,AU,1576301285,5,-33.64,115.35,311.85,4.63
2,Avarua,100,CK,1576301267,73,-21.21,-159.78,298.15,5.1
3,Dikson,75,RU,1576301268,100,73.51,80.55,250.25,1.7
4,Qaanaaq,5,GL,1576301268,55,77.48,-69.36,249.69,3.09
5,Ribeira Grande,98,PT,1576301268,93,38.52,-28.7,288.73,10.96
6,Ushuaia,75,AR,1576301268,87,-54.81,-68.31,280.15,1.99
7,Grand Gaube,40,MU,1576301287,74,-20.01,57.66,302.1,2.6
8,Lebu,20,ET,1576301287,66,8.96,38.73,286.15,1.0
9,Bozeman,90,US,1576301269,79,45.68,-111.04,269.98,3.1
10,Hilo,75,US,1576301173,73,19.71,-155.08,292.75,2.93
11,Port-Gentil,90,GA,1576301269,100,-0.72,8.78,298.15,2.1
12,Carnarvon,14,ZA,1576301270,43,-30.97,22.13,294.29,5.34
13,Gull Lake,90,CA,1576301270,77,50.1,-108.48,255.15,4.1
14,Kavaratti,27,IN,1576301270,74,10.57,72.64,301.46,6.95
15,Lompoc,90,US,1576301270,93,34.64,-120.46,286.41,2.1
16,New Norfolk,100,AU,1576301270,34,-42.78,147.06,289.37,1.79
17,Thompson,5,CA,1576301271,73,55.74,-97.86,238.15,1.0
18,Cape Town,75,ZA,1576300976,88,-33.93,18.42,292.45,4.6
19,Saint-Pierre,90,FR,1576301271,71,48.95,4.24,282.43,14.9
20,Poum,100,MK,1576301271,94,41.28,20.71,275.34,1.56
21,Calvia,20,ES,1576301271,63,39.57,2.51,288.92,4.6
22,San Patricio,0,PY,1576301272,60,-26.98,-56.83,294.16,2.51
23,Narsaq,56,GL,1576301290,32,60.91,-46.05,269.15,2.6
24,Tuktoyaktuk,75,CA,1576301290,75,69.44,-133.03,247.15,4.1
25,Hami,100,CN,1576301290,28,42.84,93.51,274.51,3.91
26,Warrington,99,GB,1576301291,80,53.39,-2.59,277.4,8.2
27,Rikitea,100,PF,1576301291,80,-23.12,-134.97,296.65,7.45
28,Mossendjo,100,CG,1576301291,97,-2.95,12.72,295.22,0.59
29,Jamestown,0,AU,1576301291,27,-33.21,138.6,301.79,6.98
30,Hobart,100,AU,1576301292,58,-42.88,147.33,289.37,0.45
31,Qianan,0,CN,1576301292,65,44.99,124.06,267.04,4.7
32,Henties Bay,37,NA,1576301292,91,-22.12,14.28,289.82,1.79
33,Kapaa,90,US,1576301292,94,22.08,-159.32,297.43,6.7
34,Punta Arenas,75,CL,1576301292,75,-53.16,-70.91,281.03,2.1
35,Iqaluit,75,CA,1576301293,55,63.75,-68.52,261.15,5.7
36,Isangel,75,VU,1576301293,58,-19.55,169.27,302.15,4.1
37,Isla Vista,40,US,1576301293,100,34.41,-119.86,286.53,2.1
38,Mataura,81,NZ,1576301293,52,-46.19,168.86,289.82,4.92
39,Punta de Bombon,85,PE,1576301294,89,-17.17,-71.79,289.5,2.79
40,Egvekinot,100,RU,1576301294,92,66.32,-179.17,261.77,4.41
41,Bredasdorp,90,ZA,1576301119,73,-34.53,20.04,292.85,3.1
42,Lugovoy,63,RU,1576301294,94,59.72,65.88,261.42,2.02
43,Victoria,75,BN,1576301039,58,5.28,115.24,304.15,1.5
44,Uige,77,AO,1576301295,97,-7.61,15.06,292.49,0.47
45,Aksarka,40,RU,1576301295,98,66.56,67.8,250.81,2.84
46,Port Hardy,75,CA,1576301295,100,50.7,-127.42,274.15,1.0
47,Port Elizabeth,90,US,1576301295,100,39.31,-74.98,284.2,3.6
48,Ambilobe,0,MG,1576301296,68,-13.19,49.05,303.44,1.36
49,Komsomolskiy,100,RU,1576301296,95,67.55,63.78,263.35,3.85
50,Chokurdakh,94,RU,1576301297,96,70.62,147.9,241.75,0.94
51,Butaritari,83,KI,1576301297,77,3.07,172.79,302.24,7.63
52,Geraldton,90,CA,1576300998,77,49.72,-86.95,255.15,3.6
53,Albany,90,US,1576301242,80,42.65,-73.75,275.31,1.5
54,Kodiak,1,US,1576301297,74,39.95,-94.76,274.81,7.2
55,San Jose,47,HN,1576300786,91,14.25,-87.96,289.59,2.69
56,Shahdadkot,0,PK,1576301298,37,27.85,67.91,293.89,1.4
57,Gorontalo,57,ID,1576301298,82,0.54,123.06,301.04,1.41
58,Pevek,100,RU,1576301298,94,69.7,170.27,255.38,4.14
59,Birin,22,NP,1576301298,73,26.89,88.07,284.41,2.11
60,Hithadhoo,60,MV,1576301299,73,-0.6,73.08,301.26,5.04
61,Trat,20,TH,1576301299,52,12.25,102.51,303.8,6.2
62,Eureka,75,US,1576301299,87,40.8,-124.16,282.65,3.1
63,Vila Velha,75,BR,1576301144,69,-3.71,-38.6,300.27,5.7
64,Vardo,90,US,1576301300,93,39.62,-77.74,275.22,3.36
65,Saint-Philippe,90,CA,1576301300,93,45.36,-73.48,275.18,3.1
66,Tabas,64,IR,1576301300,53,33.6,56.92,283.15,1.0
67,Marrakesh,20,MA,1576301300,81,31.63,-7.99,281.15,1.0
68,Erenhot,80,CN,1576301300,48,43.65,111.97,271.12,4.95
69,Kruisfontein,56,ZA,1576301301,62,-34.0,24.73,295.95,8.08
70,Khatanga,97,RU,1576301301,98,71.98,102.47,238.48,2.53
71,Tasiilaq,49,GL,1576301301,61,65.61,-37.64,264.15,2.6
72,Poddorye,100,RU,1576301301,82,57.47,31.12,273.98,4.39
73,Hermanus,67,ZA,1576301301,94,-34.42,19.24,292.04,1.34
74,San Cristobal,46,HN,1576301302,96,14.68,-86.92,289.92,1.11
75,Klaksvik,100,FO,1576301302,69,62.23,-6.59,274.15,12.9
76,Bluff,16,AU,1576301302,16,-23.58,149.07,310.95,3.5
77,Nyanguge,0,TZ,1576301302,68,-2.54,33.2,296.13,2.27
78,Coihaique,40,CL,1576301302,66,-45.58,-72.07,283.15,2.6
79,Nadym,12,RU,1576301303,99,65.53,72.51,246.81,1.39
80,Sao Filipe,25,CV,1576301303,76,14.9,-24.5,294.61,5.83
81,Narodychi,100,UA,1576301303,87,51.2,29.09,273.48,5.54
82,East London,20,ZA,1576301303,78,-33.02,27.91,295.15,6.2
83,Conceicao do Araguaia,54,BR,1576301231,91,-8.26,-49.26,296.68,0.72
84,Belmonte,94,PT,1576301304,84,40.36,-7.35,282.8,3.29
85,Vaini,42,IN,1576301305,57,15.34,74.49,298.14,2.1
86,Aleksandrovka,0,RU,1576301305,83,54.24,50.04,263.69,3.0
87,Grindavik,13,IS,1576301305,62,63.84,-22.43,266.06,4.6
88,Barrow,77,AR,1576301305,26,-38.31,-60.23,290.72,5.53
89,Puerto Ayora,12,EC,1576301305,87,-0.74,-90.35,295.37,2.24
90,Faanui,100,PF,1576301306,82,-16.48,-151.75,299.46,8.74
91,Clyde River,77,CA,1576301306,74,70.47,-68.59,244.44,1.27
92,Sibi,0,PK,1576301306,34,29.55,67.88,292.11,0.87
93,Vilhena,100,BR,1576301306,95,-12.74,-60.15,293.13,0.96
94,Fukue,40,JP,1576301307,58,35.03,136.69,285.58,1.0
95,Rio Grande,0,BR,1576301307,77,-32.03,-52.1,289.26,6.36
96,Chapais,90,CA,1576301307,92,49.78,-74.86,266.15,3.6
97,Kiruna,43,SE,1576301307,86,67.86,20.23,270.15,10.8
98,Awbari,0,LY,1576301308,36,26.59,12.77,283.01,3.67
99,Kiama,40,AU,1576301308,64,-34.67,150.86,295.81,6.7
100,Urusha,65,RU,1576301308,93,54.05,122.9,254.54,0.85
101,Luderitz,0,NA,1576301308,82,-26.65,15.16,290.15,4.6
102,Kaitangata,78,NZ,1576301308,82,-46.28,169.85,287.59,6.26
103,Saint-Augustin,90,CA,1576301309,93,45.63,-73.98,275.4,3.1
104,Yate,75,GB,1576301309,75,51.54,-2.41,278.06,8.2
105,Atuona,0,PF,1576301309,58,-9.8,-139.03,299.74,2.41
106,Nicoya,2,CR,1576301309,69,10.15,-85.45,296.45,1.5
107,Namatanai,99,PG,1576301310,70,-3.66,152.44,302.71,3.05
108,Ahome,0,MX,1576301310,89,25.92,-109.18,290.44,2.68
109,Arua,25,UG,1576301310,69,3.02,30.91,296.89,0.78
110,Reconquista,47,AR,1576301311,60,-29.14,-59.64,293.75,4.53
111,Esperance,0,AU,1576301311,12,-33.86,121.89,311.15,5.7
112,Hailar,68,CN,1576301312,85,49.2,119.7,263.05,5.39
113,Beringovskiy,100,RU,1576301312,95,63.05,179.32,269.37,6.95
114,Port Alfred,1,ZA,1576301312,93,-33.59,26.89,292.04,0.45
115,Sol-Iletsk,0,RU,1576301312,76,51.16,55.0,263.19,0.79
116,Mahebourg,40,MU,1576301313,74,-20.41,57.7,302.08,2.6
117,Souillac,90,FR,1576301313,93,45.6,-0.6,286.13,9.3
118,Ambagarh Chauki,2,IN,1576301313,48,20.78,80.75,299.99,1.55
119,Chuy,58,UY,1576301313,66,-33.69,-53.46,288.34,3.61
120,Ancud,0,CL,1576301313,100,-41.87,-73.83,278.15,1.0
121,Barcelona,20,ES,1576300595,51,41.38,2.18,288.07,11.8
122,Kutum,48,SD,1576301314,23,14.2,24.66,291.72,1.78
123,George Town,40,MY,1576301315,62,5.42,100.33,303.15,3.6
124,Touros,20,BR,1576301315,78,-5.2,-35.46,297.15,1.5
125,Ahipara,42,NZ,1576301315,71,-35.17,173.16,296.48,0.89
126,Pak Phanang,75,TH,1576301119,74,8.35,100.2,302.15,3.1
127,Castro,10,CL,1576301315,100,-42.48,-73.76,278.15,1.0
128,Airai,42,TL,1576301316,46,-8.93,125.41,302.18,2.67
129,Whitecourt,40,CA,1576301316,84,54.14,-115.68,256.15,2.6
130,Turukhansk,100,RU,1576301316,99,65.8,87.96,240.75,1.3
131,Orahovac,75,XK,1576301316,81,42.4,20.65,280.22,2.6
132,Borazjan,86,IR,1576301316,88,29.27,51.21,291.15,1.86
133,Mehamn,20,NO,1576301317,82,71.03,27.85,269.08,4.28
134,Hasaki,20,JP,1576301317,51,35.73,140.83,288.14,5.1
135,Husavik,100,CA,1576301317,85,50.56,-96.99,253.71,5.36
136,Cacule,0,BR,1576301317,86,-14.5,-42.22,291.15,1.7
137,Opunake,29,NZ,1576301318,79,-39.45,173.86,289.84,3.13
138,Ponta do Sol,100,BR,1576301318,95,-20.63,-46.0,291.68,2.57
139,Kununurra,54,AU,1576301318,31,-15.77,128.74,311.15,5.1
140,Sukagawa,20,JP,1576301318,53,37.29,140.32,285.77,0.5
141,Marawi,18,PH,1576301318,84,8.0,124.29,301.48,1.34
142,Lyudinovo,100,RU,1576301319,86,53.86,34.45,273.4,4.37
143,Sola,0,TZ,1576301319,76,-3.17,33.8,294.54,3.5
144,Poniatowa,90,PL,1576301319,100,51.19,22.07,276.08,5.1
145,Caravelas,0,BR,1576301319,96,-17.73,-39.27,295.94,1.93
146,Cherskiy,100,RU,1576301319,98,68.75,161.3,248.88,1.99
147,Omsukchan,100,RU,1576301320,94,62.53,155.8,243.09,1.87
148,Cabo San Lucas,5,MX,1576301071,68,22.89,-109.91,290.98,1.5
149,Leningradskiy,100,RU,1576301320,94,69.38,178.42,258.53,9.02
150,Upernavik,28,GL,1576301320,59,72.79,-56.15,257.78,2.9
151,Saldanha,99,PT,1576301320,87,41.42,-6.55,281.57,5.38
152,Cidreira,0,BR,1576301321,72,-30.17,-50.22,293.59,9.25
153,Coquimbo,1,CL,1576301321,87,-29.95,-71.34,287.15,2.1
154,Quatre Cocos,40,MU,1576301321,74,-20.21,57.76,302.09,2.6
155,Parker,90,US,1576301279,73,43.4,-97.14,265.14,7.7
156,Lasa,75,CY,1576301321,72,34.92,32.53,289.46,5.7
157,Lang Son,99,VN,1576301322,77,21.83,106.73,291.6,1.09
158,Artyom,46,RU,1576301322,45,43.36,132.19,269.15,6.0
159,Grand Haven,1,US,1576301322,86,43.06,-86.23,271.65,0.55
160,Alofi,99,NU,1576301148,94,-19.06,-169.92,295.15,7.2
161,Yellowknife,20,CA,1576301323,67,62.45,-114.38,241.58,4.1
162,Bethel,90,US,1576301323,100,60.79,-161.76,271.15,2.6
163,Oulainen,95,FI,1576301323,95,64.27,24.8,274.06,2.24
164,Anacortes,90,US,1576301323,93,48.5,-122.62,278.02,1.31
165,Kurdzhinovo,8,RU,1576301324,72,43.99,40.96,276.71,2.18
166,Singleton,30,AU,1576301324,54,-32.57,151.17,301.53,7.2
167,Makubetsu,75,JP,1576301324,86,42.84,143.34,272.15,0.5
168,Karratha,0,AU,1576301325,71,-20.74,116.85,302.0,6.22
169,Srednekolymsk,100,RU,1576301325,98,67.46,153.71,246.54,0.93
170,Santa Catalina,100,UY,1576301326,55,-33.79,-57.49,289.26,4.38
171,Bambous Virieux,40,MU,1576301326,74,-20.34,57.76,302.09,2.6
172,Pangody,6,RU,1576301326,99,65.85,74.49,246.87,2.13
173,Tivaouane,0,SN,1576301327,49,14.95,-16.81,293.15,5.1
174,Saskylakh,96,RU,1576301327,96,71.97,114.09,237.88,3.56
175,Tuatapere,83,NZ,1576301328,52,-46.13,167.69,289.82,4.92
176,Arraial do Cabo,100,BR,1576301328,89,-22.97,-42.02,296.95,3.09
177,Naze,40,NG,1576301328,100,5.43,7.07,296.15,0.79
178,Bubaque,0,GW,1576301328,55,11.28,-15.83,299.73,2.78
179,Mount Gambier,90,AU,1576301328,59,-37.83,140.78,291.15,5.7
180,Harlingen,75,NL,1576301046,93,53.18,5.41,278.53,5.1
181,Dzhubga,99,RU,1576301329,79,44.32,38.7,283.45,3.2
182,Kholodnyy,100,RU,1576301329,100,62.72,147.95,242.27,0.69
183,Christchurch,44,NZ,1576301097,48,-43.53,172.64,290.61,9.8
184,Kavieng,100,PG,1576301330,74,-2.57,150.8,302.22,4.71
185,Swan Hill,74,AU,1576301330,22,-35.34,143.56,301.49,6.48
186,Vao,100,EE,1576301330,92,59.1,26.19,274.28,5.28
187,Haines Junction,72,CA,1576301330,95,60.75,-137.51,263.34,2.97
188,Marzuq,0,YE,1576301331,30,14.4,46.47,297.26,1.02
189,Jijiga,19,ET,1576301331,50,9.35,42.8,292.05,2.89
190,Talnakh,40,RU,1576301331,82,69.49,88.39,246.15,7.0
191,Mpika,100,ZM,1576301331,92,-11.84,31.4,292.48,2.3
192,Worland,1,US,1576301332,32,44.02,-107.96,268.61,0.58
193,Sorland,90,NO,1576301332,61,67.67,12.69,277.94,5.06
194,Puerto Penasco,0,MX,1576301223,83,31.32,-113.53,288.15,0.45
195,Eirunepe,100,BR,1576301332,98,-6.66,-69.87,295.72,0.79
196,Paita,95,PE,1576301333,87,-5.09,-81.11,292.86,1.53
197,Flin Flon,0,CA,1576301327,95,54.77,-101.88,245.67,1.91
198,Oistins,75,BB,1576301333,88,13.07,-59.53,297.15,3.6
199,Fort Saint James,100,CA,1576301334,97,54.43,-124.25,266.29,0.61
200,Kaihua,0,CN,1576301334,36,29.14,118.41,291.8,3.05
201,Perth,0,AU,1576300726,9,-31.95,115.86,312.35,7.2
202,Muzhi,80,RU,1576301334,90,65.4,64.7,259.55,1.2
203,Mar del Plata,12,AR,1576301250,38,-46.43,-67.52,288.04,6.35
204,Berlin,75,DE,1576301081,93,52.52,13.39,276.17,2.6
205,Soligalich,91,RU,1576301335,86,59.08,42.29,268.76,3.21
206,Marsh Harbour,100,BS,1576301335,80,26.54,-77.06,297.81,6.83
207,Altamira,69,BR,1576301335,96,-3.2,-52.21,295.5,0.68
208,Sandpoint,90,US,1576301327,95,48.28,-116.55,273.17,1.5
209,Hualmay,100,PE,1576301336,81,-11.1,-77.61,292.34,1.69
210,Georgetown,85,GY,1576300797,80,6.8,-58.16,300.61,8.36
211,Teknaf,0,BD,1576301336,37,20.86,92.31,302.55,0.94
212,Bergen,68,NO,1576301336,59,60.39,5.33,277.97,6.2
213,Lae,20,PG,1576301337,55,-6.72,146.98,306.15,10.3
214,Vila,0,IT,1576301337,92,45.18,8.4,274.83,1.0
215,Kulhudhuffushi,65,MV,1576301337,73,6.62,73.07,301.25,3.53
216,Gobabis,7,NA,1576301337,17,-22.45,18.97,298.02,2.85
217,Samarai,57,PG,1576301338,64,-10.62,150.67,303.21,3.71
218,Bonavista,23,CA,1576301338,76,48.65,-53.11,266.48,6.26
219,Krasnyy Chikoy,13,RU,1576301338,84,50.36,108.75,264.33,1.18
220,Genhe,84,CN,1576301339,94,50.78,121.52,258.14,2.15
221,Cuajinicuilapa,81,MX,1576301339,88,16.47,-98.41,296.63,1.16
222,Arak,20,IR,1576301339,100,34.1,49.69,275.15,1.0
223,Cockburn Town,8,TC,1576301340,77,21.46,-71.14,300.06,9.32
224,Tevaitoa,100,PF,1576301340,80,-16.78,-151.5,299.59,9.97
225,Sawtell,36,AU,1576301340,65,-30.38,153.1,301.34,4.1
226,Sampit,31,ID,1576301340,42,-2.54,112.95,308.83,1.23
227,Meiganga,57,CM,1576301340,25,6.52,14.29,292.95,2.47
228,Sovetskiy,0,RU,1576301341,87,56.76,48.47,263.33,4.18
229,Rawdon,90,CA,1576301341,93,46.05,-73.71,274.82,3.1
230,Altay,68,CN,1576301341,63,47.83,88.13,268.68,0.37
231,Griffith,68,AU,1576301341,22,-34.29,146.06,302.8,8.7
232,Ovalle,23,CL,1576301342,84,-30.6,-71.2,284.84,0.13
233,Avera,90,US,1576301342,98,33.19,-82.53,279.06,3.6
234,Camacha,75,PT,1576301342,93,33.08,-16.33,289.29,2.1
235,Bowen,72,AU,1576301342,46,-20.01,148.25,305.6,6.2
236,Tiksi,59,RU,1576301343,100,71.64,128.87,238.86,1.52
237,Punto Fijo,82,VE,1576301343,77,11.69,-70.21,299.09,5.56
238,Angoche,100,MZ,1576301343,79,-16.23,39.91,300.8,2.26
239,Severo-Kurilsk,100,RU,1576301343,80,50.68,156.12,269.38,9.97
240,Ambahta,18,IN,1576301344,67,29.85,77.33,290.0,3.46
241,Khor,95,RU,1576301344,89,47.88,134.96,257.4,5.12
242,Mount Isa,0,AU,1576301344,10,-20.73,139.49,312.15,4.1
243,Pisco,100,PE,1576301344,82,-13.71,-76.2,292.41,2.1
244,Russell,90,US,1576301345,75,38.9,-98.86,277.12,2.6
245,Aspe,15,ES,1576301345,93,38.35,-0.77,284.06,2.1
246,Dicabisagan,17,PH,1576301345,81,17.08,122.42,299.53,4.17
247,Vicksburg,90,US,1576301345,100,32.35,-90.88,280.37,0.69
248,Victoria Point,20,AU,1576301346,69,-27.58,153.3,303.03,7.7
249,Karangampel,100,ID,1576301346,64,-6.46,108.44,303.18,5.17
250,Nikolskoye,90,RU,1576301346,80,59.7,30.79,274.44,5.0
251,Yerofey Pavlovich,76,RU,1576301347,95,53.97,121.97,255.22,0.93
252,Ketchikan,90,US,1576301347,93,55.34,-131.65,277.15,4.1
253,Nanortalik,0,GL,1576301347,43,60.14,-45.24,271.59,3.15
254,Nushki,41,PK,1576301347,24,29.55,66.02,285.92,0.29
255,Khovu-Aksy,94,RU,1576301347,71,51.13,93.72,260.49,4.47
256,Yaan,27,NG,1576301348,19,7.38,8.57,294.18,2.08
257,Sakaiminato,75,JP,1576301348,57,35.55,133.23,284.15,6.2
258,Puerto Narino,75,CO,1576301348,100,-3.77,-70.38,297.15,0.41
259,Kurilsk,84,RU,1576301348,98,45.23,147.88,273.97,8.95
260,Panzhihua,70,CN,1576301348,56,26.59,101.72,287.04,1.0
261,Flinders,40,AU,1576301349,64,-34.58,150.85,296.16,6.7
262,Quattro Castella,0,IT,1576301349,61,44.63,10.47,273.53,2.1
263,San Policarpo,13,PH,1576301350,85,12.18,125.51,301.33,6.23
264,Sitka,82,US,1576301350,53,37.17,-99.65,279.26,3.58
265,Vaitape,100,PF,1576301350,82,-16.52,-151.75,299.46,8.74
266,Yuma,1,US,1576301351,67,32.73,-114.62,288.27,1.71
267,Ukiah,90,US,1576301351,93,39.15,-123.21,283.0,1.5
268,Sunbury,75,AU,1576301351,49,-37.58,144.73,292.61,6.7
269,Wewak,57,PG,1576301351,71,-3.55,143.63,302.49,6.75
270,Ojinaga,1,US,1576301351,62,29.56,-104.41,282.67,2.6
271,Ahuimanu,90,US,1576301352,83,21.44,-157.84,298.03,5.7
272,Orapa,11,BW,1576301352,54,-21.28,25.37,296.91,6.75
273,Ostrovnoy,82,RU,1576301352,94,68.05,39.51,267.71,9.48
